Running GP on Feynman I.6.2a ...
Gen   0 | initial population evaluated
Gen   1 | best BIC: -5812.019
Gen   2 | best BIC: -5812.019
Gen   3 | best BIC: -5812.019
Gen   4 | best BIC: -5812.019
Gen   5 | best BIC: -5812.019
Gen   6 | best BIC: -5812.019
Gen   7 | best BIC: -5812.019
Gen   8 | best BIC: -5869.141
Gen   9 | best BIC: -5857.029
Gen  10 | best BIC: -6342.418
Gen  11 | best BIC: -6342.418
Gen  12 | best BIC: -6342.418
Gen  13 | best BIC: -6342.418
Gen  14 | best BIC: -6342.418
Gen  15 | best BIC: -6342.418
Gen  16 | best BIC: -6342.418
Gen  17 | best BIC: -6342.418
Gen  18 | best BIC: -6681.128
Gen  19 | best BIC: -6681.128
Gen  20 | best BIC: -7113.378
Gen  21 | best BIC: -7113.378
Gen  22 | best BIC: -7113.378
Gen  23 | best BIC: -7113.378
Gen  24 | best BIC: -7113.378
Gen  25 | best BIC: -7113.378
Gen  26 | best BIC: -7113.378
Gen  27 | best BIC: -7113.378
Gen  28 | best BIC: -7113.378
Gen  29 | best BIC: -7113.378
Gen  30 | best BIC: -7113.378
Gen  31 | best BIC: -7113.378
Gen  32 | best BIC: -7113.378
Gen  33 | best BIC: -7113.378
Gen  34 | best BIC: -7113.378
Gen  35 | best BIC: -7113.378
Gen  36 | best BIC: -7113.378
Gen  37 | best BIC: -7113.378
Gen  38 | best BIC: -7113.378
Gen  39 | best BIC: -7113.378
Gen  40 | best BIC: -7113.378
Gen  41 | best BIC: -7113.378
Gen  42 | best BIC: -7113.378
Gen  43 | best BIC: -7113.378
Gen  44 | best BIC: -7113.378
Gen  45 | best BIC: -7113.378
Gen  46 | best BIC: -7113.378
Gen  47 | best BIC: -7113.378
Gen  48 | best BIC: -7113.378
Gen  49 | best BIC: -7113.378
Gen  50 | best BIC: -7113.378
